split,seed,coverage,method,fault_kind,source_hidden,magnitude,threshold,target_fpr,n_windows_during,detection_rate,detected_episode,top1,within1,median_station_error,lead_time_min,top1_episode,within1_episode,false_alarm_rate,first_alert_t_s,first_correct_alert_t_s
test,5001,0.75,RippleTwin,QUALITY_DRIFT,False,13.6887759257169,31.30364205825687,0.1,71,0.09859154929577464,1.0,0.0,0.0,10.0,,0.0,0.0,0.08130081300813008,37029.793365640886,
test,5001,0.75,B2_observed_only_twin,QUALITY_DRIFT,False,13.6887759257169,31.30364205825687,0.005,71,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5001,0.75,B2_observed_only_twin,QUALITY_DRIFT,False,13.6887759257169,31.30364205825687,0.01,71,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5001,0.75,B2_observed_only_twin,QUALITY_DRIFT,False,13.6887759257169,31.30364205825687,0.02,71,0.014084507042253521,1.0,0.0,0.0,11.0,,0.0,0.0,0.0,46317.91007441677,
test,5001,0.75,B2_observed_only_twin,QUALITY_DRIFT,False,13.6887759257169,31.30364205825687,0.05,71,0.04225352112676056,1.0,0.0,0.0,11.0,,0.0,0.0,0.04878048780487805,46014.42664168416,
test,5001,0.75,B2_observed_only_twin,QUALITY_DRIFT,False,13.6887759257169,31.30364205825687,0.1,71,0.11267605633802817,1.0,0.0,0.0,10.0,,0.0,0.0,0.11382113821138211,31021.291443859936,
test,5001,0.75,B0_SPC_observed,QUALITY_DRIFT,False,13.6887759257169,5.061702559429017,0.005,71,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5001,0.75,B0_SPC_observed,QUALITY_DRIFT,False,13.6887759257169,5.061702559429017,0.01,71,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5001,0.75,B0_SPC_observed,QUALITY_DRIFT,False,13.6887759257169,5.061702559429017,0.02,71,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5001,0.75,B0_SPC_observed,QUALITY_DRIFT,False,13.6887759257169,5.061702559429017,0.05,71,0.014084507042253521,1.0,0.0,0.0,4.0,,0.0,0.0,0.0,44515.121078888595,
test,5001,0.75,B0_SPC_observed,QUALITY_DRIFT,False,13.6887759257169,5.061702559429017,0.1,71,0.028169014084507043,1.0,0.0,0.0,4.0,,0.0,0.0,0.0,44222.797011952156,
test,5001,0.75,B1_IsolationForest,QUALITY_DRIFT,False,13.6887759257169,0.7423023198141773,0.005,71,0.0,0.0,,,,,0.0,0.0,0.024390243902439025,,
test,5001,0.75,B1_IsolationForest,QUALITY_DRIFT,False,13.6887759257169,0.7423023198141773,0.01,71,0.0,0.0,,,,,0.0,0.0,0.04065040650406504,,
test,5001,0.75,B1_IsolationForest,QUALITY_DRIFT,False,13.6887759257169,0.7423023198141773,0.02,71,0.0,0.0,,,,,0.0,0.0,0.06504065040650407,,
test,5001,0.75,B1_IsolationForest,QUALITY_DRIFT,False,13.6887759257169,0.7423023198141773,0.05,71,0.0,0.0,,,,,0.0,0.0,0.0975609756097561,,
test,5001,0.75,B1_IsolationForest,QUALITY_DRIFT,False,13.6887759257169,0.7423023198141773,0.1,71,0.0,0.0,,,,,0.0,0.0,0.1951219512195122,,
test,5001,0.5,RippleTwin,QUALITY_DRIFT,True,13.6887759257169,39.99294167411538,0.005,71,0.0,0.0,,,,,0.0,0.0,0.0,,
test,5001,0.5,RippleTwin,QUALITY_DRIFT,True,13.6887759257169,39.99294167411538,0.01,71,0.0,0.0,,,,,0.0,0.0,0.0,,
